航线,Unnamed: 1,Unnamed: 2,Unnamed: 4,Unnamed: 5,Unnamed: 6,"2024年深航共拥有波音737系列,空客A319,A320,A330系列各类型客机超200架",Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
国内出发,,,国际出发,,,空客系列,公务舱,舒适经济舱,经济舱,座位总数,平均机龄,图片
始发地,目的地,航距（公里）,始发地,目的地,航距（公里）,机型：A330,18座,24座,267座,309座,5年,"=DISPIMG(""ID_88343D7CFFDE4F66B67FA783CC009CE4"",1)"
无锡,中国香港,1211,,,,,,,,,,
无锡,惠州,1448,,,,,,,,,,
无锡,泉州,990,,,,,,,,,,
无锡,大阪,1433,,,,,,,,,,
无锡,贵阳,1710,,,,,,,,,,
无锡,中国澳门,1235,,,,,,,,,,
无锡,南宁,1780,,,,,,,,,,
无锡,北京首都,1120,,,,,,,,,,
无锡,沈阳,1350,,,,,,,,,,
无锡,深圳,1368,,,,,,,,,,
无锡,成都天府,1730,,,,,,,,,,
无锡,太原,1183,,,,,,,,,,
无锡,西安,1310,,,,,,,,,,
无锡,运城,1088,,,,,,,,,,
无锡,宜昌,905,,,,,,,,,,
无锡,烟台,850,,,,,,,,,,
无锡,珠海,1476,,,,,,,,,,
芜湖,深圳,1282,,,,,,,,,,
武汉,呼和浩特,1254,,,,,,,,,,
武汉,泉州,860,,,,,,,,,,
武汉,南宁,1099,,,,,,,,,,
武汉,沈阳,1859,,,,,,,,,,
武汉,深圳,938,,,,,,,,,,
武汉,太原,866,,,,,,,,,,
武汉,运城,737,,,,,,,,,,
乌鲁木齐,深圳,3900,,,,,,,,,,
温州,广州,1015,,,,,,,,,,
温州,临沂,987,,,,,,,,,,
温州,绵阳,1826,,,,,,,,,,
温州,南宁,1663,,,,,,,,,,
温州,沈阳,1753,,,,,,,,,,
温州,三亚,1802,,,,,,,,,,
温州,深圳,1009,,,,,,,,,,
温州,宜宾,1910,,,,,,,,,,
温州,运城,1402,,,,,,,,,,
西安,广州,1528,,,,,,,,,,
西安,合肥,960,,,,,,,,,,
西安,惠州,1826,,,,,,,,,,
西安,泉州,1678,,,,,,,,,,
西安,临沂,1110,,,,,,,,,,
西安,南宁,1832,,,,,,,,,,
西安,南通,1254,,,,,,,,,,
西安,沈阳,1683,,,,,,,,,,
西安,深圳,1635,,,,,,,,,,
西安,无锡,1310,,,,,,,,,,
西安,西宁,721,,,,,,,,,,
西安,扬州泰州,1314,,,,,,,,,,
厦门,南宁,1105,,,,,,,,,,
厦门,南通,980,,,,,,,,,,
厦门,扬州泰州,1017,,,,,,,,,,
西宁,郑州,1196,,,,,,,,,,
西宁,深圳,2390,,,,,,,,,,
西宁,西安,721,,,,,,,,,,
襄阳,北京首都,1050,,,,,,,,,,
襄阳,沈阳,1704,,,,,,,,,,
襄阳,深圳,1237,,,,,,,,,,
襄阳,珠海,1312,,,,,,,,,,
银川,郑州,951,,,,,,,,,,
银川,南昌,1471,,,,,,,,,,
银川,南京,1664,,,,,,,,,,
银川,深圳,2176,,,,,,,,,,
运城,杭州,1273,,,,,,,,,,
运城,哈尔滨,1869,,,,,,,,,,
运城,南昌,917,,,,,,,,,,
运城,昆明,1365,,,,,,,,,,
运城,宁波,1411,,,,,,,,,,
运城,南京,980,,,,,,,,,,
运城,南宁,1587,,,,,,,,,,
运城,三亚,2341,,,,,,,,,,
运城,深圳,1454,,,,,,,,,,
运城,温州,1402,,,,,,,,,,
运城,武汉,737,,,,,,,,,,
运城,无锡,1088,,,,,,,,,,
运城,珠海,1697,,,,,,,,,,
宜昌,泉州,1104,,,,,,,,,,
宜昌,兰州,1212,,,,,,,,,,
宜昌,深圳,1032,,,,,,,,,,
宜昌,太原,840,,,,,,,,,,
宜昌,无锡,905,,,,,,,,,,
扬州泰州,广州,1370,,,,,,,,,,
扬州泰州,长春,1528,,,,,,,,,,
扬州泰州,大连,829,,,,,,,,,,
扬州泰州,哈尔滨,1692,,,,,,,,,,
扬州泰州,沈阳,1620,,,,,,,,,,
