航线（国内）,Unnamed: 1,Unnamed: 2,Unnamed: 3,航线（国际）,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
始发地,目的地,里程数,,始发地,目的地,里程数,,,
,大连,2324,,,,,,,
,烟台,2202,,,,,,,
,青岛,2055,,,,,,,
,天津,2060,,,,,,,
,洛阳,1403,,,,,,,
,郑州,1481,,,,,,,
,河内,521,,,,,,,
,三亚,1009,,,,,,,
,海口,962,,,,,,,
,湛江,897,,,,,,,
,南宁,600,,,,,,,
,惠州,1204,,,,,,,
,广州,1067,,,,,,,
,深圳,1138,,,,,,,
,香港,1159,,,,,,,
,珠海,1117,,,,,,,
,汕头,1384,,,,,,,
,厦门,1532,,,,,,,
,泉州,1576,,,,,,,
,福州,1679,,,,,,,
,三明,1497,,,,,,,
,吉安,1194,,,,,,,
,永州,879,,,,,,,
,温州,1806,,,,,,,
,台州,1872,,,,,,,
,宁波,1897,,,,,,,
,义乌,1751,,,,,,,
,南昌,1349,,,,,,,
,长沙,1077,,,,,,,
,上海,1963,,,,,,,
,嘉兴,1846,,,,,,,
,杭州,1811,,,,,,,
,无锡,1849,,,,,,,
,常州,1807,,,,,,,
,南京,1719,,,,,,,
,合肥,1568,,,,,,,
,武汉,1271,,,,,,,
,淮安,1836,,,,,,,
,宜昌,1033,,,,,,,
,阜阳,1511,,,,,,,
,景洪,412,,,,,,,
,澜沧,438,,,,,,,
,临沧,330,,,,,,,
,沧源,414,,,,,,,
,芒市,451,,,,,,,
,腾冲,447,,,,,,,
,保山,378,,,,,,,
,大理,269,,,,,,,
,丽江,320,,,,,,,
,城关区,1275,,,,,,,
,迪庆藏族自治州,439,,,,,,,
,乌鲁木齐,2514,,,,,,,
,昭通,259,,,,,,,
,西宁,1271,,,,,,,
,大同,1930,,,,,,,
,太原,1675,,,,,,,
,洛阳,1403,,,,,,,
,济南,1881,,,,,,,
,郑州,1481,,,,,,,
,泸州,502,,,,,,,
,呼和浩特,1933,,,,,,,
,榆林,1600,,,,,,,
,鄂尔多斯,1724,,,,,,,
,银川,1503,,,,,,,
,兰州,1268,,,,,,,
广州,台州,995,,,,,,,
,宁波,1080,,,,,,,
,上海,1202,,,,,,,
,杭州,1036,,,,,,,
,无锡,1141,,,,,,,
,常州,1141,,,,,,,
,南京,1077,,,,,,,
,南昌,660,,,,,,,
,威海,1754,,,,,,,
,淮安,1286,,,,,,,
,青岛,1580,,,,,,,
,合肥,1022,,,,,,,
,济南,1542,,,,,,,
,太原,1596,,,,,,,
,兰州,1728,,,,,,,
,迪庆藏族自治州,1448,,,,,,,
,芒市,1503,,,,,,,
,丽江,1363,,,,,,,
,大理,1334,,,,,,,
深圳,大理,1407,,,,,,,
,宁波,1102,,,,,,,
,南京,1127,,,,,,,
,太原,1682,,,,,,,
南京,大连,838,,,,,,,
,台北,776,,,,,,,
,台中,848,,,,,,,
,高雄,1028,,,,,,,
,厦门,803,,,,,,,
,汕头,938,,,,,,,
,香港,1156,,,,,,,
,深圳,1127,,,,,,,
,珠海,1210,,,,,,,
,澳门,1186,,,,,,,
,三亚,1769,,,,,,,
,湛江,1403,,,,,,,
,北海,1477,,,,,,,
,南宁,1463,,,,,,,
,桂林,1125,,,,,,,
,景洪,2092,,,,,,,
,贵阳,1304,,,,,,,
,遵义,1201,,,,,,,
,芒市,2148,,,,,,,
,大理,1926,,,,,,,
,宜宾,1410,,,,,,,
,兰州,1497,,,,,,,
,西宁,1633,,,,,,,
,喀什,3927,,,,,,,
,伊宁,3524,,,,,,,
,银川,1347,,,,,,,
,乌鲁木齐,3043,,,,,,,
,太原,875,,,,,,,
,包头,1260,,,,,,,
,呼和浩特,1191,,,,,,,
,大同,1043,,,,,,,
