航线（国内）,Unnamed: 1,Unnamed: 2,航线（国际）,Unnamed: 5,Unnamed: 6
始发地,目的地,里程数,始发地,目的地,里程数
,兰州,1728,,,
,达州,1028,,,
,恩阳,1135,,,
,西宁,1814,,,
,阿勒泰地区,3505,,,
,乌鲁木齐,3275,,,
,喀什,3925,,,
,南充,1083,,,
,阆中,1151,,,
,绵阳,1228,,,
,遵义,779,,,
,泸州,999,,,
,贵阳,742,,,
,昭通,1053,,,
,林芝,1996,,,
,迪庆藏族自治州,1448,,,
,湛江,349,,,
,北海,459,,,
,南宁,531,,,
,景洪,1294,,,
,文山,914,,,
,芒市,1503,,,
,腾冲,1510,,,
,兴义,864,,,
,昆明,1067,,,
,大理,1334,,,
,攀枝花,1209,,,
,丽江,1363,,,
,海口,483,,,
,三亚,694,,,
,香港,135,,,
,台北,824,,,
,泉州,558,,,
,厦门,505,,,
,福州,702,,,
,梅州,299,,,
,瑞金,399,,,
,温州,908,,,
,台州,995,,,
,三明,566,,,
,丽水,855,,,
,宁波,1080,,,
,嘉兴,1090,,,
,义乌,941,,,
,衢州,834,,,
,南通,1223,,,
,无锡,1141,,,
,黄山,859,,,
,常州,1141,,,
,芜湖宣城,1007,,,
,南京,1077,,,
,扬州,1197,,,
,盐城,1302,,,
深圳,台北,801,,,
,温州,917,,,
,宁波,1102,,,
,义乌,969,,,
,无锡,1181,,,
,常州,1186,,,
,南京,1127,,,
,盐城,1352,,,
,淮安,1342,,,
,青岛,1640,,,
,大连,1955,,,
,沈阳,2295,,,
,长春,2610,,,
,哈尔滨,2791,,,
,合肥,1085,,,
,阜阳,1152,,,
,济宁,1473,,,
,济南,1613,,,
,天津,1862,,,
,菏泽,1410,,,
,安阳,1471,,,
,南阳,1154,,,
,洛阳,1352,,,
,太原,1682,,,
,呼和浩特,2033,,,
,常德,731,,,
,延安,1593,,,
,安康,1217,,,
,兰州,1827,,,
,西宁,1914,,,
,广元,1345,,,
,南充,1181,,,
,绵阳,1324,,,
,泸州,1094,,,
,遵义,946,,,
,贵阳,829,,,
,乌鲁木齐,3373,,,
,伊宁,3793,,,
,喀什,4017,,,
,林芝,2078,,,
,丽江,1440,,,
,大理,1407,,,
